,match_id,elapsed_time,p1,p2
0,2023-wimbledon-1301,00:00:00,-0.5,0.0
1,2023-wimbledon-1301,00:00:38,0.95,0.95
2,2023-wimbledon-1301,00:01:01,0.07499999999999996,0.575
3,2023-wimbledon-1301,00:01:31,1.25,0.75
4,2023-wimbledon-1301,00:02:21,2.75,1.25
5,2023-wimbledon-1301,00:02:50,0.725,0.725
6,2023-wimbledon-1301,00:03:33,2.575,1.075
7,2023-wimbledon-1301,00:04:01,0.7,1.2
8,2023-wimbledon-1301,00:04:48,1.175,1.175
9,2023-wimbledon-1301,00:05:32,1.1,1.1
10,2023-wimbledon-1301,00:07:05,2.4250000000000003,3.825
11,2023-wimbledon-1301,00:07:28,0.6749999999999999,0.575
12,2023-wimbledon-1301,00:08:06,1.05,0.44999999999999996
13,2023-wimbledon-1301,00:08:41,0.975,1.375
14,2023-wimbledon-1301,00:09:11,0.85,0.75
15,2023-wimbledon-1301,00:09:37,0.75,0.65
16,2023-wimbledon-1301,00:10:20,1.175,1.075
17,2023-wimbledon-1301,00:10:45,0.725,1.125
18,2023-wimbledon-1301,00:11:24,2.575,1.075
19,2023-wimbledon-1301,00:11:47,0.6749999999999999,0.6749999999999999
20,2023-wimbledon-1301,00:12:17,0.85,0.85
21,2023-wimbledon-1301,00:12:44,0.775,0.275
22,2023-wimbledon-1301,00:13:26,1.1500000000000001,1.1500000000000001
23,2023-wimbledon-1301,00:15:31,2.825,3.225
24,2023-wimbledon-1301,00:16:15,1.3,1.2000000000000002
25,2023-wimbledon-1301,00:16:47,1.0,2.4
26,2023-wimbledon-1301,00:17:08,0.7250000000000001,1.125
27,2023-wimbledon-1301,00:17:49,1.7249999999999999,1.2249999999999999
28,2023-wimbledon-1301,00:18:25,1.1,1.1
29,2023-wimbledon-1301,00:18:50,0.825,0.825
30,2023-wimbledon-1301,00:19:20,0.44999999999999996,0.95
31,2023-wimbledon-1301,00:20:03,1.275,1.275
32,2023-wimbledon-1301,00:20:55,1.0,1.5
33,2023-wimbledon-1301,00:21:27,1.0,1.0
34,2023-wimbledon-1301,00:22:19,1.5,1.5
35,2023-wimbledon-1301,00:24:22,3.375,3.2750000000000004
36,2023-wimbledon-1301,00:24:53,1.0750000000000002,0.4750000000000001
37,2023-wimbledon-1301,00:26:05,2.1,2.0
38,2023-wimbledon-1301,00:26:30,0.925,0.825
39,2023-wimbledon-1301,00:26:56,0.9500000000000001,0.8500000000000001
40,2023-wimbledon-1301,00:27:42,1.95,1.45
41,2023-wimbledon-1301,00:28:37,1.675,1.175
42,2023-wimbledon-1301,00:29:06,1.525,1.025
43,2023-wimbledon-1301,00:29:32,0.9500000000000001,0.9500000000000001
44,2023-wimbledon-1301,00:30:17,1.425,1.425
45,2023-wimbledon-1301,00:32:34,3.8249999999999997,3.7249999999999996
46,2023-wimbledon-1301,00:32:57,0.975,0.375
47,2023-wimbledon-1301,00:33:33,1.3,2.7
48,2023-wimbledon-1301,00:33:58,1.025,0.42500000000000004
49,2023-wimbledon-1301,00:34:46,2.1,1.5
50,2023-wimbledon-1301,00:36:02,2.3,1.7000000000000002
51,2023-wimbledon-1301,00:37:18,2.4,2.2
52,2023-wimbledon-1301,00:37:44,1.15,0.9500000000000001
53,2023-wimbledon-1301,00:38:26,1.55,1.35
54,2023-wimbledon-1301,00:38:54,1.2,1.0
55,2023-wimbledon-1301,00:39:29,1.375,1.175
56,2023-wimbledon-1301,00:40:01,0.8,1.1
57,2023-wimbledon-1301,00:40:33,1.3,1.1
58,2023-wimbledon-1301,00:41:23,1.75,2.05
59,2023-wimbledon-1301,00:42:31,2.2,2.5
60,2023-wimbledon-1301,00:43:18,2.175,1.475
61,2023-wimbledon-1301,00:43:59,1.525,1.325
62,2023-wimbledon-1301,00:44:29,1.25,0.55
63,2023-wimbledon-1301,00:47:04,4.375,5.375
64,2023-wimbledon-1301,00:47:27,1.075,2.075
65,2023-wimbledon-1301,00:47:52,1.125,0.625
66,2023-wimbledon-1301,00:48:17,1.125,0.625
67,2023-wimbledon-1301,00:49:17,3.5,1.6
68,2023-wimbledon-1301,00:49:38,1.025,0.625
69,2023-wimbledon-1301,00:50:14,1.4,1.5
70,2023-wimbledon-1301,00:51:10,1.4,1.5
71,2023-wimbledon-1301,00:51:54,3.1,1.2000000000000002
72,2023-wimbledon-1301,00:52:21,0.675,0.775
73,2023-wimbledon-1301,00:53:06,1.125,1.225
74,2023-wimbledon-1301,00:54:11,2.125,1.725
75,2023-wimbledon-1301,00:54:56,1.625,1.325
76,2023-wimbledon-1301,00:55:20,1.1,0.8
77,2023-wimbledon-1301,00:55:50,1.25,1.45
78,2023-wimbledon-1301,00:57:08,1.9500000000000002,2.15
79,2023-wimbledon-1301,00:59:22,3.85,3.6500000000000004
80,2023-wimbledon-1301,01:00:17,1.875,1.675
81,2023-wimbledon-1301,01:00:41,2.6,0.9
82,2023-wimbledon-1301,01:01:21,1.5,1.3
83,2023-wimbledon-1301,01:02:05,1.6,1.9000000000000001
84,2023-wimbledon-1301,01:02:54,1.725,1.0250000000000001
85,2023-wimbledon-1301,01:03:50,1.9,1.2
86,2023-wimbledon-1301,01:04:21,1.275,1.0750000000000002
87,2023-wimbledon-1301,01:05:38,2.525,2.725
88,2023-wimbledon-1301,01:06:16,1.55,1.25
89,2023-wimbledon-1301,01:06:46,1.85,1.05
90,2023-wimbledon-1301,01:07:42,2.0,1.2
91,2023-wimbledon-1301,01:08:26,1.7000000000000002,0.9000000000000001
92,2023-wimbledon-1301,01:09:19,1.925,1.625
93,2023-wimbledon-1301,01:10:24,2.225,1.925
94,2023-wimbledon-1301,01:11:30,2.25,1.95
95,2023-wimbledon-1301,01:12:08,1.55,1.25
96,2023-wimbledon-1301,01:12:37,1.3250000000000002,1.525
97,2023-wimbledon-1301,01:14:48,3.875,3.675
98,2023-wimbledon-1301,01:15:27,1.5750000000000002,1.375
99,2023-wimbledon-1301,01:15:55,0.8,1.1
100,2023-wimbledon-1301,01:16:53,2.05,1.85
101,2023-wimbledon-1301,01:17:22,1.3250000000000002,1.125
102,2023-wimbledon-1301,01:17:48,1.25,1.55
103,2023-wimbledon-1301,01:18:30,2.1500000000000004,1.4500000000000002
104,2023-wimbledon-1301,01:19:01,1.875,1.175
105,2023-wimbledon-1301,01:19:57,2.1,1.2999999999999998
106,2023-wimbledon-1301,01:20:31,1.05,1.25
107,2023-wimbledon-1301,01:21:06,1.075,1.275
108,2023-wimbledon-1301,01:21:41,1.575,1.775
109,2023-wimbledon-1301,01:22:15,1.55,1.25
110,2023-wimbledon-1301,01:22:46,1.4749999999999999,0.675
111,2023-wimbledon-1301,01:23:58,2.5,1.7000000000000002
112,2023-wimbledon-1301,01:25:01,2.2750000000000004,1.975
113,2023-wimbledon-1301,01:25:32,1.4749999999999999,1.675
114,2023-wimbledon-1301,01:26:17,1.825,1.025
115,2023-wimbledon-1301,01:26:59,1.75,1.4500000000000002
116,2023-wimbledon-1301,01:28:28,2.9250000000000003,2.125
117,2023-wimbledon-1301,01:30:29,3.825,3.425
118,2023-wimbledon-1301,01:30:48,1.275,0.875
119,2023-wimbledon-1301,01:31:21,1.625,0.7250000000000001
120,2023-wimbledon-1301,01:31:59,2.25,1.35
121,2023-wimbledon-1301,01:32:45,2.05,1.5499999999999998
122,2023-wimbledon-1301,01:33:11,1.5499999999999998,2.55
123,2023-wimbledon-1301,01:33:37,1.5499999999999998,1.05
124,2023-wimbledon-1301,01:34:16,1.875,2.875
125,2023-wimbledon-1301,01:34:42,1.5499999999999998,1.05
126,2023-wimbledon-1301,01:36:28,3.55,3.15
127,2023-wimbledon-1301,01:36:57,1.625,1.225
128,2023-wimbledon-1301,01:38:01,2.5,1.6
129,2023-wimbledon-1301,01:38:43,1.9500000000000002,1.55
130,2023-wimbledon-1301,01:39:23,1.9,1.5
131,2023-wimbledon-1301,01:39:56,1.725,1.325
132,2023-wimbledon-1301,01:40:44,2.2,3.2
133,2023-wimbledon-1301,01:41:10,1.65,1.15
134,2023-wimbledon-1301,01:41:39,1.725,0.7250000000000001
135,2023-wimbledon-1301,01:42:22,2.075,1.575
136,2023-wimbledon-1301,01:43:15,2.325,1.825
137,2023-wimbledon-1301,01:45:24,5.725,3.825
138,2023-wimbledon-1301,01:45:59,1.875,1.475
139,2023-wimbledon-1301,01:46:38,1.975,1.5750000000000002
140,2023-wimbledon-1301,01:47:17,1.975,1.5750000000000002
141,2023-wimbledon-1301,01:48:12,2.475,1.975
142,2023-wimbledon-1301,01:49:11,2.575,2.075
143,2023-wimbledon-1301,01:49:37,1.75,1.25
144,2023-wimbledon-1301,01:51:32,3.975,3.975
145,2023-wimbledon-1301,01:52:03,1.875,2.875
146,2023-wimbledon-1301,01:52:41,2.05,1.55
147,2023-wimbledon-1301,01:53:43,2.65,2.1500000000000004
148,2023-wimbledon-1301,01:54:25,2.1500000000000004,1.6500000000000001
149,2023-wimbledon-1301,01:54:57,1.4000000000000001,1.4000000000000001
150,2023-wimbledon-1301,01:55:53,3.0,2.0
